ts,uptime_s,role,frames_total,kernel_drops,last_frame_age_s
1776114991,1387.401304477,c920-overhead,41598.0,0.0,0.022081113000240293
1776114991,1387.401304477,brio-room,41562.0,0.0,0.019895068999176146
1776114991,1387.401304477,brio-synths,41566.0,0.0,0.02483814299921505
1776114996,1392.4078335039994,brio-operator,38936.0,0.0,0.011244233999605058
1776114996,1392.4078335039994,c920-desk,41759.0,0.0,0.004455579999557813
1776114996,1392.4078335039994,c920-room,41745.0,0.0,0.005991175999952247
1776114996,1392.4078335039994,c920-overhead,41750.0,0.0,0.032767230999525054
1776114996,1392.4078335039994,brio-room,41714.0,0.0,0.02624162899883231
1776114996,1392.4078335039994,brio-synths,41718.0,0.0,0.028293601999394014
1776115001,1397.409291932001,brio-operator,39078.0,0.0,0.013114605000737356
1776115001,1397.409291932001,c920-desk,41911.0,0.0,0.005761844000517158
1776115001,1397.409291932001,c920-room,41898.0,0.0,0.010360044001572533
1776115001,1397.409291932001,c920-overhead,41902.0,0.0,0.0023070360002748203
1776115001,1397.409291932001,brio-room,41866.0,0.0,0.027368941000531777
1776115001,1397.409291932001,brio-synths,41870.0,0.0,0.03170471900011762
1776115006,1402.410521052001,brio-operator,39219.0,0.0,0.015901145001407713
1776115006,1402.410521052001,c920-desk,42063.0,0.0,0.00913150100132043
1776115006,1402.410521052001,c920-room,42049.0,0.0,0.013289106000229367
1776115006,1402.410521052001,c920-overhead,42053.0,0.0,0.00443825900038064
1776115006,1402.410521052001,brio-room,42017.0,0.0,0.029102420001436258
1776115006,1402.410521052001,brio-synths,42021.0,0.0,0.03184079000129714
1776115011,1407.412002915,brio-operator,39361.0,0.0,0.010018200000558863
1776115011,1407.412002915,c920-desk,42214.0,0.0,0.009826137998970808
1776115011,1407.412002915,c920-room,42200.0,0.0,0.017304560000411584
1776115011,1407.412002915,c920-overhead,42205.0,0.0,0.006391670000084559
1776115011,1407.412002915,brio-room,42169.0,0.0,0.02921549100028642
1776115011,1407.412002915,brio-synths,42173.0,0.0,0.00011816100050054956
1776115016,1412.4144385670006,brio-operator,39501.0,0.0,0.013056554000286269
1776115016,1412.4144385670006,c920-desk,42365.0,0.0,0.01477670200074499
1776115016,1412.4144385670006,c920-room,42351.0,0.0,0.01973439700122981
1776115016,1412.4144385670006,c920-overhead,42356.0,0.0,0.010482265000973712
1776115016,1412.4144385670006,brio-room,42319.0,0.0,0.03401164400020207
1776115016,1412.4144385670006,brio-synths,42323.0,0.0,0.03614082700005383
1776115021,1417.4204106060006,brio-operator,39642.0,0.0,0.012772760001098504
1776115021,1417.4204106060006,c920-desk,42516.0,0.0,0.018040528000710765
1776115021,1417.4204106060006,c920-room,42502.0,0.0,0.026800884001204395
1776115021,1417.4204106060006,c920-overhead,42507.0,0.0,0.01776641499964171
1776115021,1417.4204106060006,brio-room,42471.0,0.0,0.006966545999603113
1776115021,1417.4204106060006,brio-synths,42475.0,0.0,0.012627349000467802
1776115027,1422.4224391400003,brio-operator,39784.0,0.0,0.010424354000861058
1776115027,1422.4224391400003,c920-desk,42668.0,0.0,0.016568450999329798
1776115027,1422.4224391400003,c920-room,42655.0,0.0,0.031182302000161144
1776115027,1422.4224391400003,c920-overhead,42659.0,0.0,0.017790014999263803
